City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Labytnangi,8,RU,2019-04-01 03:34:26,79,66.66,66.39,19.37,8.43
Dicabisagan,80,PH,2019-04-01 03:34:26,94,17.08,122.42,79.31,4.74
Doha,0,QA,2019-04-01 03:00:00,53,25.29,51.53,80.6,8.05
Touros,40,BR,2019-04-01 03:00:00,100,-5.2,-35.46,77.0,3.36
Norman Wells,90,CA,2019-04-01 03:00:00,94,65.28,-126.83,32.0,12.75
Erenhot,8,CN,2019-04-01 03:34:27,37,43.65,111.97,44.3,11.45
Pojuca,40,BR,2019-04-01 03:00:00,94,-12.42,-38.33,78.8,3.36
Oakdale,1,US,2019-04-01 03:29:54,45,37.77,-120.85,66.99,3.36
Dunedin,32,NZ,2019-04-01 03:30:39,38,-45.87,170.5,64.0,21.0
Havelock,1,US,2019-04-01 03:33:50,47,34.88,-76.9,59.0,6.93
Najran,0,SA,2019-04-01 03:00:00,33,17.54,44.22,71.6,2.24
Belaya Gora,0,RU,2019-04-01 03:34:29,98,68.54,146.19,20.81,4.18
Izumo,75,JP,2019-04-01 03:00:00,100,35.37,132.75,46.4,23.04
Mayo,40,CA,2019-04-01 03:00:00,42,63.59,-135.9,48.2,3.36
Dinan,20,FR,2019-04-01 03:33:12,100,48.45,-2.05,48.99,5.82
Emba,40,CY,2019-04-01 03:32:17,93,34.81,32.42,50.0,6.93
Fort Nelson,40,CA,2019-04-01 03:00:00,48,58.81,-122.69,41.0,3.36
Soyo,8,AO,2019-04-01 03:34:31,96,-6.13,12.37,78.05,3.62
Kalmunai,0,LK,2019-04-01 03:34:31,78,7.42,81.82,83.18,3.85
Barcelos,0,PT,2019-04-01 03:28:11,67,41.53,-8.62,59.0,4.7
Bosaso,12,SO,2019-04-01 03:31:17,100,11.28,49.18,77.78,12.57
Lasem,20,ID,2019-04-01 03:00:00,70,-6.99,112.52,86.0,4.7
Piracuruca,76,BR,2019-04-01 03:34:32,97,-3.93,-41.72,73.37,3.4
Ahipara,92,NZ,2019-04-01 03:34:32,100,-35.17,173.16,68.24,7.76
Vung Tau,32,VN,2019-04-01 03:30:51,87,10.35,107.08,85.25,14.36
Meadow Lake,24,CA,2019-04-01 03:34:33,62,54.13,-108.44,29.09,6.2
Pandan,0,PH,2019-04-01 03:34:33,96,11.72,122.09,80.66,17.94
Waipawa,92,NZ,2019-04-01 03:12:15,84,-39.94,176.59,69.01,13.24
Nhulunbuy,75,AU,2019-04-01 03:00:00,94,-12.18,136.78,78.8,10.29
Axim,8,GH,2019-04-01 03:34:34,100,4.87,-2.24,82.55,6.64
Portland,1,US,2019-04-01 03:27:17,62,45.52,-122.67,63.0,1.95
Pontassieve,0,IT,2019-04-01 03:34:31,86,43.78,11.44,53.01,2.24
Batemans Bay,12,AU,2019-04-01 03:31:27,58,-35.71,150.18,66.0,3.0
Oranjestad,20,AW,2019-04-01 03:00:00,83,12.52,-70.03,78.8,19.46
Calvinia,0,ZA,2019-04-01 03:34:35,85,-31.47,19.78,39.26,4.41
Kavieng,36,PG,2019-04-01 03:34:36,100,-2.57,150.8,82.46,7.87
Iquique,0,CL,2019-04-01 03:00:00,64,-20.22,-70.14,68.0,6.93
Rocha,64,UY,2019-04-01 03:34:36,96,-34.48,-54.34,59.51,3.96
Luau,8,CD,2019-04-01 03:34:36,85,-10.7,22.23,67.52,2.28
Tilichiki,88,RU,2019-04-01 03:34:37,91,60.47,166.1,34.4,13.13
Kaduqli,0,SD,2019-04-01 03:34:37,30,11.01,29.72,69.05,9.44
Tuatapere,76,NZ,2019-04-01 03:30:09,77,-46.13,167.69,51.01,4.0
Caravelas,0,BR,2019-04-01 03:34:38,100,-17.73,-39.27,81.02,12.01
Lagoa,75,PT,2019-04-01 03:32:30,87,37.14,-8.45,59.0,5.82
Peleduy,0,RU,2019-04-01 03:34:39,62,59.63,112.75,34.58,3.74
Igarka,92,RU,2019-04-01 03:34:39,99,67.47,86.57,29.09,10.89
Altay,8,CN,2019-04-01 03:34:39,71,47.83,88.13,38.45,2.73
Yangjiang,92,CN,2019-04-01 03:34:40,100,21.85,111.96,71.48,20.74
Hue,40,VN,2019-04-01 03:00:00,70,16.47,107.58,86.0,4.7
Chara,0,GR,2019-04-01 03:33:29,70,39.42,22.43,48.99,8.05
Kernersville,20,US,2019-04-01 03:34:38,33,36.12,-80.07,46.4,10.29
Atambua,0,ID,2019-04-01 03:34:41,96,-9.11,124.89,83.81,4.18
Ewa Beach,1,US,2019-04-01 03:34:01,65,21.32,-158.01,80.6,9.17
Hami,88,CN,2019-04-01 03:34:41,47,42.84,93.51,55.55,6.2
Nouadhibou,8,MR,2019-04-01 03:00:00,82,20.93,-17.03,62.6,11.41
Weyburn,48,CA,2019-04-01 03:31:42,71,49.67,-103.85,32.0,7.65
Mumbwa,0,ZM,2019-04-01 03:34:42,57,-14.99,27.06,62.48,8.55
Pokosnoye,36,RU,2019-04-01 03:34:43,89,55.53,101.05,39.53,6.53
Tura,100,IN,2019-04-01 03:34:43,93,25.52,90.21,68.15,4.18
Potiskum,0,NG,2019-04-01 03:34:43,26,11.71,11.08,74.0,10.33
Dong Xoai,8,VN,2019-04-01 03:34:43,66,11.53,106.92,87.86,6.31
Kyshtovka,20,RU,2019-04-01 03:34:44,92,56.56,76.62,32.69,17.38
Adrar,0,DZ,2019-04-01 03:00:00,58,27.87,-0.29,59.0,6.93
Antalaha,0,MG,2019-04-01 03:34:44,92,-14.9,50.28,75.53,2.39
Arecibo,40,PR,2019-04-01 03:33:54,94,18.47,-66.72,75.99,3.36
Galle,1,US,2019-04-01 03:34:26,48,29.74,-97.91,48.99,8.05
Voh,12,NC,2019-04-01 03:34:45,92,-20.95,164.69,82.1,8.21
Rawson,0,AR,2019-04-01 03:34:45,49,-43.3,-65.11,57.26,2.95
Talnakh,88,RU,2019-04-01 03:34:46,97,69.49,88.39,29.27,13.8
Gawler,20,AU,2019-04-01 03:33:28,45,-34.6,138.75,70.0,12.75
Timizart,92,DZ,2019-04-01 03:28:26,98,36.8,4.25,53.01,1.01
Buenos Aires,0,AR,2019-04-01 03:30:05,78,-34.61,-58.44,71.6,10.29
Biak,92,ID,2019-04-01 03:34:00,98,-0.91,122.88,79.67,1.5
Guapo,0,CN,2019-04-01 03:34:48,23,34.48,109.71,59.78,2.06
Saint George,0,GR,2019-04-01 03:33:29,70,39.45,22.34,48.99,8.05
Sur,0,OM,2019-04-01 03:34:35,79,22.57,59.53,79.31,4.18
Coolum Beach,32,AU,2019-04-01 03:33:04,57,-26.53,153.09,77.0,7.0
Port Hedland,0,AU,2019-04-01 03:00:00,20,-20.31,118.58,96.8,10.29
Teixoso,76,PT,2019-04-01 03:30:23,83,40.31,-7.46,44.01,1.72
Khorixas,0,NA,2019-04-01 03:34:49,92,-20.37,14.96,62.66,2.84
Mitsamiouli,20,KM,2019-04-01 03:00:00,88,-11.38,43.28,77.0,3.36
Severomuysk,0,RU,2019-04-01 03:34:50,75,56.17,113.57,20.81,2.73
Springville,1,US,2019-04-01 03:31:46,49,40.17,-111.61,46.99,8.05
Uvira,48,CD,2019-04-01 03:34:51,100,-3.41,29.14,62.3,0.38
Zlobin,0,HR,2019-04-01 03:34:22,33,45.29,14.65,62.6,5.82
Inta,56,RU,2019-04-01 03:34:51,82,66.04,60.13,29.72,7.65
Changtu,0,CN,2019-04-01 03:34:51,75,42.78,124.11,42.32,4.52
Maumere,0,ID,2019-04-01 03:34:52,98,-8.63,122.22,83.9,3.51
Benguela,20,AO,2019-04-01 03:34:52,100,-12.58,13.4,79.94,5.3
Bima,56,ID,2019-04-01 03:34:52,86,-8.45,118.73,83.0,1.95
Moshny,0,UA,2019-04-01 03:34:53,89,49.52,31.74,40.25,11.45
Clarence Town,75,AU,2019-04-01 03:30:46,93,-32.59,151.78,70.0,11.41
Butte,90,US,2019-04-01 03:32:09,69,46.01,-112.54,35.6,3.36
Ulaangom,20,MN,2019-04-01 03:34:54,89,49.98,92.07,35.39,2.84
Germenchuk,90,RU,2019-04-01 03:00:00,84,43.19,45.92,32.0,6.71
Shelburne,90,CA,2019-04-01 03:33:18,79,44.08,-80.2,26.01,10.29
Shubarkuduk,0,KZ,2019-04-01 03:34:54,76,49.15,56.49,27.29,4.29
Lukovetskiy,20,RU,2019-04-01 03:00:00,92,64.29,41.92,21.2,4.47
Luanda,75,AO,2019-04-01 03:00:00,88,-8.83,13.24,77.0,8.05
Kharp,20,RU,2019-04-01 03:34:55,79,66.82,65.8,19.1,7.65
Uglegorsk,76,RU,2019-04-01 03:34:56,76,49.08,142.06,22.61,9.44
Puerto Maldonado,8,PE,2019-04-01 03:34:56,92,-12.59,-69.19,76.34,0.94
Karratha,0,AU,2019-04-01 03:34:56,28,-20.74,116.85,98.03,3.62
Cortland,90,US,2019-04-01 03:32:20,86,42.6,-76.18,30.2,12.75
Deoria,0,IN,2019-04-01 03:34:57,63,26.5,83.79,77.78,11.01
Trinidad,64,UY,2019-04-01 03:34:57,73,-33.52,-56.9,70.31,7.54
Zaragoza,75,ES,2019-04-01 03:31:02,93,41.65,-0.88,48.2,2.24
Lere,0,TD,2019-04-01 03:34:58,28,9.66,14.23,75.44,11.79
Sawang Daen Din,80,TH,2019-04-01 03:34:58,100,17.48,103.46,72.65,6.76
Port Lincoln,24,AU,2019-04-01 03:34:58,94,-34.72,135.86,65.18,2.95
Amahai,32,ID,2019-04-01 03:34:59,100,-3.31,129.0,84.08,11.79
Hervey Bay,75,AU,2019-04-01 03:30:24,47,-25.3,152.85,82.99,19.46
Windhoek,68,NA,2019-04-01 03:00:00,72,-22.57,17.08,60.8,6.93
Great Yarmouth,0,GB,2019-04-01 03:33:58,80,52.61,1.73,44.01,5.82
Cognac,0,FR,2019-04-01 03:30:09,61,45.69,-0.33,50.0,2.95
Peniche,40,PT,2019-04-01 03:34:03,93,39.36,-9.38,55.99,1.12
Dabra,0,IN,2019-04-01 03:35:00,26,25.88,78.33,79.76,4.63
Urambo,68,TZ,2019-04-01 03:35:00,97,-5.07,32.07,64.91,1.95
Pangoa,0,PE,2019-04-01 03:35:01,95,-12.12,-73.0,64.91,1.83
Mangit,92,UZ,2019-04-01 03:00:00,76,40.6,70.96,48.2,6.93
Roald,48,NO,2019-04-01 03:31:07,93,62.58,6.12,41.0,19.46
Evensk,88,RU,2019-04-01 03:35:01,88,61.92,159.24,32.24,19.39
Det Udom,20,TH,2019-04-01 03:00:00,55,14.9,105.08,87.8,8.05
Port Hardy,20,CA,2019-04-01 03:00:00,75,50.7,-127.42,46.4,3.18
Ivankiv,24,UA,2019-04-01 03:28:58,59,50.93,29.9,46.0,11.18
Oliveira,100,BR,2019-04-01 03:33:53,63,-20.7,-44.83,71.21,2.84
Cairns,75,AU,2019-04-01 03:28:16,62,-16.92,145.77,87.8,12.75
Colares,20,PT,2019-04-01 03:35:02,93,38.8,-9.45,59.0,4.7
Guarapari,75,BR,2019-04-01 03:00:00,83,-20.67,-40.5,75.99,4.7
Ouegoa,88,NC,2019-04-01 03:35:04,77,-20.34,164.44,81.47,2.73
Jahanabad,90,IR,2019-04-01 03:00:00,100,33.86,48.17,44.6,9.17
Kununurra,0,AU,2019-04-01 03:00:00,17,-15.77,128.74,93.2,11.41
Pangnirtung,76,CA,2019-04-01 03:35:05,75,66.15,-65.72,7.31,7.2
Taksimo,0,RU,2019-04-01 03:35:05,47,56.36,114.84,26.75,2.17
Honningsvag,40,NO,2019-04-01 02:50:00,86,70.98,25.97,28.4,39.15
Sukumo,64,JP,2019-04-01 03:35:06,73,32.94,132.72,47.63,19.28
Bud,92,NO,2019-04-01 03:31:07,64,62.91,6.91,41.0,12.75
Seoul,1,KR,2019-04-01 03:10:00,19,37.57,126.98,50.0,5.82
Kerouane,12,GN,2019-04-01 03:00:00,48,12.23,-12.34,86.0,3.06
Nalut,92,LY,2019-04-01 03:35:07,90,31.86,10.98,57.53,16.15
Eslov,0,SE,2019-04-01 03:33:20,100,55.84,13.3,28.4,1.12
Mabaruma,24,GY,2019-04-01 03:35:07,85,8.2,-59.78,77.42,7.65
Moundsville,90,US,2019-04-01 03:34:19,63,39.92,-80.74,28.99,6.93
Harper,1,US,2019-04-01 03:34:32,48,30.3,-99.24,46.4,5.82
Muros,0,ES,2019-04-01 03:35:04,81,42.77,-9.06,57.99,5.82
Praia,0,BR,2019-04-01 03:00:00,77,-20.25,-43.81,68.0,3.36
Nipawin,1,CA,2019-04-01 03:00:00,68,53.36,-104.02,30.2,8.05
Vestmanna,80,FO,2019-04-01 02:50:00,86,62.16,-7.17,41.0,17.22
San Patricio,76,PY,2019-04-01 03:35:10,72,-26.98,-56.83,78.41,3.96
Maiduguri,0,NG,2019-04-01 03:35:10,24,11.84,13.15,74.0,9.78
Asarganj,0,IN,2019-04-01 03:35:10,69,25.15,86.69,75.98,10.22
Cidreira,0,BR,2019-04-01 03:33:23,95,-30.17,-50.22,66.17,2.62
Boshnyakovo,36,RU,2019-04-01 03:35:11,83,49.65,142.17,21.62,10.45
Djibo,12,BF,2019-04-01 03:35:11,63,14.1,-1.63,77.42,3.18
Krasnovishersk,92,RU,2019-04-01 03:35:11,94,60.4,57.08,29.9,7.31
Sao Felix do Xingu,0,BR,2019-04-01 03:35:12,98,-6.64,-51.99,73.46,2.39
Pekan,75,MY,2019-04-01 03:00:00,70,3.49,103.39,87.8,1.12
Saint-Louis,0,CH,2019-04-01 03:35:04,81,47.59,7.56,48.99,6.93
Venezuela,24,CU,2019-04-01 03:35:13,75,21.74,-78.8,77.96,10.0
Luderitz,12,NA,2019-04-01 03:35:13,83,-26.65,15.16,59.96,18.84
Teknaf,24,BD,2019-04-01 03:35:13,81,20.86,92.31,80.12,3.62
Balagansk,0,RU,2019-04-01 03:35:14,61,54.01,103.05,40.61,4.41
Tarazona,75,ES,2019-04-01 03:31:08,87,41.91,-1.72,48.2,2.24
Bodden Town,20,KY,2019-04-01 03:30:04,88,19.28,-81.25,78.8,9.17
Agboville,8,CI,2019-04-01 03:35:14,94,5.93,-4.21,75.44,3.06
Yenagoa,0,NG,2019-04-01 03:35:15,94,4.92,6.26,77.15,6.08
Calama,0,CL,2019-04-01 03:00:00,84,-22.46,-68.93,57.2,6.93
Channel-Port aux Basques,80,CA,2019-04-01 03:35:15,94,47.57,-59.14,31.52,22.3
Constitucion,5,MX,2019-04-01 03:30:16,21,23.99,-104.67,69.8,10.29
Saint-Augustin,0,FR,2019-04-01 03:33:50,75,44.83,-0.61,48.2,3.36
Casablanca,40,MA,2019-04-01 03:30:23,100,33.6,-7.62,62.01,9.17
Pucallpa,12,PE,2019-04-01 03:00:00,88,-8.38,-74.54,80.6,3.36
Xunchang,88,CN,2019-04-01 03:35:17,95,28.45,104.71,56.99,3.18
Nigde,88,TR,2019-04-01 03:35:17,98,37.97,34.68,31.79,1.16
Daltenganj,0,IN,2019-04-01 03:35:18,48,24.03,84.07,80.21,4.29
Ngunguru,92,NZ,2019-04-01 03:33:09,95,-35.62,174.5,72.0,1.99
Vao,8,EE,2019-04-01 03:35:18,88,59.1,26.19,30.98,10.0
Tshikapa,12,CD,2019-04-01 03:35:19,96,-6.42,20.79,73.01,2.17
Awbari,24,LY,2019-04-01 03:35:19,39,26.59,12.77,52.49,3.96
Teguise,0,ES,2019-04-01 03:00:00,77,29.06,-13.56,64.4,2.24
Jinotega,0,NI,2019-04-01 03:30:58,72,13.09,-86.0,66.99,1.01
Troitskoye,0,RU,2019-04-01 03:35:20,92,52.98,84.68,38.09,4.29
Hobyo,92,SO,2019-04-01 03:35:20,85,5.35,48.53,80.03,9.22
Chapais,90,CA,2019-04-01 03:00:00,56,49.78,-74.86,12.2,12.75
Sao Joao da Barra,48,BR,2019-04-01 03:35:21,100,-21.64,-41.05,78.77,5.97
Turukhansk,48,RU,2019-04-01 03:35:21,87,65.8,87.96,26.39,4.74
Fallon,40,US,2019-04-01 02:56:00,64,46.84,-105.12,35.6,8.05
Coihaique,0,CL,2019-04-01 03:00:00,58,-45.58,-72.07,53.6,23.04
Kedrovyy,0,RU,2019-04-01 03:00:00,53,56.17,91.82,50.0,13.42
Darhan,48,MN,2019-04-01 03:35:22,28,49.49,105.92,43.31,4.29
Kyzyl-Suu,0,KG,2019-04-01 03:33:28,80,42.34,78.0,21.0,3.0
Gberia Fotombu,0,SL,2019-04-01 03:35:23,66,9.88,-11.17,77.78,11.79
Hofn,68,IS,2019-04-01 03:35:23,99,64.25,-15.21,40.16,16.93
Mataundh,0,IN,2019-04-01 03:35:23,36,25.44,80.16,81.65,4.41
Viedma,24,AR,2019-04-01 03:35:24,52,-40.81,-62.99,73.01,11.56
Zamora,92,ES,2019-04-01 03:30:32,86,41.51,-5.74,42.01,2.24
Longyearbyen,40,NO,2019-04-01 02:50:00,71,78.22,15.63,5.0,3.36
Westport,76,IE,2019-04-01 03:33:04,90,53.8,-9.52,42.01,1.01
Kawalu,56,ID,2019-04-01 03:35:25,81,-7.38,108.21,76.61,2.95
Zarkos,0,GR,2019-04-01 03:33:29,86,39.61,22.12,48.99,2.62
Leshukonskoye,8,RU,2019-04-01 03:35:25,90,64.9,45.76,24.86,4.52
Tadine,8,NC,2019-04-01 03:35:26,94,-21.55,167.88,80.12,9.33
Shimoda,20,JP,2019-04-01 03:35:11,50,34.7,138.93,62.01,11.41
Faya,20,SA,2019-04-01 03:00:00,71,18.39,42.45,59.0,11.41
Yerbogachen,48,RU,2019-04-01 03:35:27,70,61.28,108.01,33.59,6.64
Saint-Denis,20,FR,2019-04-01 03:35:18,76,48.94,2.36,48.99,8.05
Copenhagen,0,DK,2019-04-01 03:34:12,86,55.69,12.57,30.99,2.24
Alice Town,0,BS,2019-04-01 03:35:28,100,25.72,-79.3,75.26,7.65
Yanam,20,IN,2019-04-01 03:00:00,55,16.73,82.22,86.0,8.05
Mingaora,0,PK,2019-04-01 03:35:28,52,34.78,72.36,50.15,2.17
Tayu,20,JP,2019-04-01 03:34:07,57,35.06,136.67,60.01,23.04
Linqiong,40,CN,2019-04-01 03:00:00,87,30.42,103.46,57.2,2.84
Manzhouli,0,CN,2019-04-01 03:35:29,25,49.6,117.43,36.47,5.64
Vereeniging,88,ZA,2019-04-01 03:32:26,41,-26.67,27.93,66.99,6.2
Kendari,68,ID,2019-04-01 03:35:30,92,-3.99,122.52,82.46,3.74
San Cristobal,75,EC,2019-04-01 03:30:08,93,-0.39,-78.55,57.2,3.36
Poya,12,NC,2019-04-01 03:35:31,100,-21.35,165.16,78.86,10.78
Tsiroanomandidy,0,MG,2019-04-01 03:35:31,88,-18.77,46.05,56.36,2.62
Pontiac,40,US,2019-04-01 03:33:12,39,42.64,-83.29,30.99,10.29
Halifax,90,CA,2019-04-01 03:31:59,100,44.65,-63.58,45.0,9.17
Yar-Sale,56,RU,2019-04-01 03:35:05,86,66.83,70.83,21.08,14.7
Kamenka,56,RU,2019-04-01 03:21:24,73,53.19,44.05,41.0,12.57
Vila Velha,90,BR,2019-04-01 03:28:56,88,-3.71,-38.6,79.0,4.7
Palaikastron,48,GR,2019-04-01 03:21:07,53,35.2,26.25,55.99,11.01
Conceicao do Araguaia,92,BR,2019-04-01 03:35:33,96,-8.26,-49.26,75.08,5.08
Vanimo,32,PG,2019-04-01 03:35:33,100,-2.67,141.3,82.1,13.24
Zonguldak,88,TR,2019-04-01 03:35:34,97,41.25,31.83,37.19,3.06
Dallas,1,US,2019-04-01 03:25:00,49,32.78,-96.8,48.99,3.36
San Ramon de la Nueva Oran,76,AR,2019-04-01 03:35:34,96,-23.13,-64.33,72.83,3.06
Waingapu,8,ID,2019-04-01 03:35:34,84,-9.65,120.26,83.81,3.74
Villamontes,56,BO,2019-04-01 03:35:35,67,-21.26,-63.47,76.79,6.76
Sovetskiy,76,RU,2019-04-01 03:35:35,92,56.76,48.47,34.22,15.26
Buraydah,75,SA,2019-04-01 03:00:00,48,26.33,43.97,60.8,19.46
Swellendam,8,ZA,2019-04-01 03:00:00,76,-34.02,20.44,53.6,8.05
Niquelandia,44,BR,2019-04-01 03:35:36,72,-14.47,-48.46,73.82,4.74
Sisimiut,68,GL,2019-04-01 03:35:36,100,66.94,-53.67,13.16,2.06
Ocos,40,GT,2019-04-01 02:40:00,74,14.51,-92.19,82.4,9.89
Aleksandrov Gay,0,RU,2019-04-01 03:35:37,83,50.14,48.57,34.22,13.69
Georgetown,20,GY,2019-04-01 03:00:00,94,6.8,-58.16,71.6,4.7
Amapa,20,HN,2019-04-01 03:31:19,78,15.09,-87.97,77.0,5.82
Tibati,0,CM,2019-04-01 03:35:38,63,6.47,12.63,61.13,2.62
Kindu,24,CD,2019-04-01 03:35:38,90,-2.95,25.92,73.19,3.4
Bandar,88,ID,2019-04-01 03:35:39,99,-4.2,104.14,76.97,4.97
Riyadh,0,SA,2019-04-01 03:00:00,56,24.63,46.72,69.8,5.82
Rome,0,IT,2019-04-01 03:31:00,75,41.89,12.48,53.01,2.24
Maceio,20,BR,2019-04-01 03:00:00,88,-9.67,-35.74,77.0,1.12
Morwell,8,AU,2019-04-01 03:30:20,69,-38.24,146.4,66.99,5.01
Lufilufi,40,WS,2019-04-01 03:32:21,14,-13.87,-171.6,136.4,4.7
Onega,68,RU,2019-04-01 03:35:40,88,63.91,38.09,24.86,8.55
Zhezkazgan,90,KZ,2019-04-01 03:00:00,93,47.8,67.71,37.4,15.66
Haines Junction,0,CA,2019-04-01 03:35:41,50,60.75,-137.51,37.19,2.06
Ocampo,100,PH,2019-04-01 03:35:41,100,13.56,123.37,76.25,6.42
Salinas,1,US,2019-04-01 03:35:34,63,36.67,-121.66,64.99,8.05
Norton,0,ZW,2019-04-01 03:35:43,93,-17.87,30.7,57.35,5.3
Sept-Iles,90,CA,2019-04-01 03:31:23,100,50.2,-66.38,35.6,5.82
Marawi,0,PH,2019-04-01 03:30:19,76,8.0,124.29,81.0,8.01
Hamilton,75,CA,2019-04-01 03:35:36,79,43.26,-79.87,28.0,8.05
Kaeo,92,NZ,2019-04-01 03:33:09,95,-35.1,173.78,72.0,1.99
Lehrte,0,DE,2019-04-01 03:35:15,80,52.37,9.97,35.01,5.82
San Jeronimo,64,PE,2019-04-01 03:35:45,95,-13.65,-73.37,43.31,1.61
Huarmey,8,PE,2019-04-01 03:35:45,90,-10.07,-78.15,64.28,3.96
Pangody,0,RU,2019-04-01 03:34:16,86,65.85,74.49,21.98,12.91
Saint Marys,90,US,2019-04-01 03:35:33,67,41.43,-78.56,26.6,11.41
Grunberg,0,DE,2019-04-01 03:35:31,75,50.59,8.96,43.0,14.99
Panzhihua,0,CN,2019-04-01 03:33:41,45,26.59,101.72,72.0,2.62
Dagatan,64,PH,2019-04-01 03:30:16,71,13.74,121.2,84.0,5.01
Jardim,0,BR,2019-04-01 03:34:37,54,-21.48,-56.15,76.79,7.99
Jimeta,0,NG,2019-04-01 03:35:47,67,9.28,12.44,70.76,2.62
Lahad Datu,32,MY,2019-04-01 03:35:47,83,5.02,118.33,81.56,3.85
Dunda,0,IN,2019-04-01 02:30:00,60,30.62,78.32,68.0,3.36
Poronaysk,48,RU,2019-04-01 03:35:48,73,49.22,143.1,24.41,10.0
Darnetal,0,FR,2019-04-01 03:35:00,81,49.45,1.15,48.0,11.41
Tigil,0,RU,2019-04-01 03:35:49,91,57.8,158.67,35.84,9.22
Baoqing,76,CN,2019-04-01 03:35:49,39,46.32,132.2,35.3,8.99
Bandar-e Lengeh,0,IR,2019-04-01 03:00:00,65,26.56,54.88,77.0,11.41
Anadyr,90,RU,2019-04-01 03:32:26,94,64.73,177.51,33.8,26.84
Devonport,0,AU,2019-04-01 03:32:04,49,-41.18,146.36,70.0,7.0
Marica,40,BR,2019-04-01 03:35:16,73,-22.92,-42.82,80.6,6.93
Dali,8,CN,2019-04-01 03:34:30,57,25.6,100.24,64.73,3.96
Berlevag,40,NO,2019-04-01 02:50:00,86,70.86,29.09,28.4,39.15
Kozhva,64,RU,2019-04-01 03:35:51,84,65.11,57.05,27.29,6.64
Chumikan,80,RU,2019-04-01 03:35:51,68,54.72,135.31,31.07,4.41
Sorbhog,88,IN,2019-04-01 03:35:52,95,26.5,90.87,67.16,5.19
Ternate,75,PH,2019-04-01 03:30:57,59,14.29,120.72,90.0,9.17
Antofagasta,75,CL,2019-04-01 03:00:00,82,-23.65,-70.4,64.4,11.41
Cavalcante,0,BR,2019-04-01 03:35:53,86,-13.79,-47.46,67.52,3.18
Pareora,0,NZ,2019-04-01 03:35:53,68,-44.49,171.21,61.94,15.82
